raw,rawselected,best,generations,temperature,runtime
12.666666666666666,12.666666666666666,280.3333333333333,10227,500000.0,1209.3099739551544
10.666666666666666,10.666666666666666,280.3333333333333,10228,500000.0,1209.3762836456299
21.666666666666668,21.666666666666668,280.3333333333333,10229,500000.0,1209.50337433815
13.0,13.0,280.3333333333333,10230,500000.0,1209.5828213691711
13.666666666666666,13.666666666666666,280.3333333333333,10231,500000.0,1209.665412902832
14.666666666666666,14.666666666666666,280.3333333333333,10232,500000.0,1209.7546055316925
13.333333333333334,13.333333333333334,280.3333333333333,10233,500000.0,1209.8353381156921
17.0,17.0,280.3333333333333,10234,500000.0,1209.9368903636932
12.333333333333334,12.333333333333334,280.3333333333333,10235,500000.0,1210.0121839046478
16.0,16.0,280.3333333333333,10236,500000.0,1210.108047246933
9.0,9.0,280.3333333333333,10237,500000.0,1210.1651811599731
9.666666666666666,9.666666666666666,280.3333333333333,10238,500000.0,1210.2262439727783
11.333333333333334,11.333333333333334,280.3333333333333,10239,500000.0,1210.2960813045502
13.666666666666666,13.666666666666666,280.3333333333333,10240,500000.0,1210.3791859149933
9.333333333333334,9.333333333333334,280.3333333333333,10241,500000.0,1210.4382681846619
11.333333333333334,11.333333333333334,280.3333333333333,10242,500000.0,1210.5082728862762
24.0,24.0,280.3333333333333,10243,500000.0,1210.6488571166992
9.0,9.0,280.3333333333333,10244,500000.0,1210.7067122459412
11.666666666666666,11.666666666666666,280.3333333333333,10245,500000.0,1210.7788834571838
10.333333333333334,10.333333333333334,280.3333333333333,10246,500000.0,1210.843362569809
9.666666666666666,9.666666666666666,280.3333333333333,10247,500000.0,1210.9042789936066
12.666666666666666,12.666666666666666,280.3333333333333,10248,500000.0,1210.9819831848145
20.0,20.0,280.3333333333333,10249,500000.0,1211.1001131534576
15.666666666666666,15.666666666666666,280.3333333333333,10250,500000.0,1211.1969697475433
22.333333333333332,22.333333333333332,280.3333333333333,10251,500000.0,1211.3281292915344
28.333333333333332,28.333333333333332,280.3333333333333,10252,500000.0,1211.4936933517456
17.666666666666668,17.666666666666668,280.3333333333333,10253,500000.0,1211.599598646164
46.333333333333336,46.333333333333336,280.3333333333333,10254,500000.0,1211.869057893753
24.666666666666668,24.666666666666668,280.3333333333333,10255,500000.0,1212.0128421783447
20.0,20.0,280.3333333333333,10256,500000.0,1212.1302726268768
14.666666666666666,14.666666666666666,280.3333333333333,10257,500000.0,1212.2189478874207
27.333333333333332,27.333333333333332,280.3333333333333,10258,500000.0,1212.3774194717407
16.666666666666668,16.666666666666668,280.3333333333333,10259,500000.0,1212.4768416881561
12.0,12.0,280.3333333333333,10260,500000.0,1212.5509836673737
10.666666666666666,10.666666666666666,280.3333333333333,10261,500000.0,1212.6178936958313
23.333333333333332,23.333333333333332,280.3333333333333,10262,500000.0,1212.7563862800598
15.666666666666666,15.666666666666666,280.3333333333333,10263,500000.0,1212.8535177707672
11.0,11.0,280.3333333333333,10264,500000.0,1212.9215915203094
12.333333333333334,12.333333333333334,280.3333333333333,10265,500000.0,1212.9972777366638
12.666666666666666,12.666666666666666,280.3333333333333,10266,500000.0,1213.0747344493866
30.0,30.0,280.3333333333333,10267,500000.0,1213.247921705246
31.0,31.0,280.3333333333333,10268,500000.0,1213.4281904697418
16.666666666666668,16.666666666666668,280.3333333333333,10269,500000.0,1213.5278923511505
23.666666666666668,23.666666666666668,280.3333333333333,10270,500000.0,1213.666312456131
39.333333333333336,39.333333333333336,280.3333333333333,10271,500000.0,1213.8920376300812
23.0,23.0,280.3333333333333,10272,500000.0,1214.0267877578735
38.333333333333336,38.333333333333336,280.3333333333333,10273,500000.0,1214.2464690208435
10.666666666666666,10.666666666666666,280.3333333333333,10274,500000.0,1214.3148908615112
