raw,rawselected,best,generations,tabu_list_size,neighborhood_size,runtime
16.333333333333332,16.333333333333332,16.333333333333332,1,10,40,0.11507678031921387
35.666666666666664,35.666666666666664,35.666666666666664,2,10,40,5.165266990661621
35.666666666666664,35.666666666666664,35.666666666666664,3,10,40,9.462621688842773
35.666666666666664,35.666666666666664,35.666666666666664,4,10,40,13.376712322235107
41.333333333333336,41.333333333333336,41.333333333333336,5,10,40,17.771395921707153
43.666666666666664,43.666666666666664,43.666666666666664,6,10,40,22.649385452270508
43.666666666666664,43.666666666666664,43.666666666666664,7,10,40,27.053425550460815
44.0,44.0,44.0,8,10,40,32.135457277297974
44.0,44.0,44.0,9,10,40,36.792766094207764
44.0,44.0,44.0,10,10,40,41.57595372200012
44.0,44.0,44.0,11,10,40,45.831002950668335
47.0,47.0,47.0,12,10,40,50.521769523620605
47.0,47.0,47.0,13,10,40,55.122647285461426
47.0,47.0,47.0,14,10,40,60.52152681350708
47.0,47.0,47.0,15,10,40,65.64905261993408
47.0,47.0,47.0,16,10,40,69.99204850196838
47.666666666666664,47.666666666666664,47.666666666666664,17,10,40,75.27430558204651
47.666666666666664,47.666666666666664,47.666666666666664,18,10,40,80.57477164268494
47.666666666666664,47.666666666666664,47.666666666666664,19,10,40,84.99018573760986
47.666666666666664,47.666666666666664,47.666666666666664,20,10,40,89.65435028076172
47.666666666666664,47.666666666666664,47.666666666666664,21,10,40,94.0818874835968
51.0,51.0,51.0,22,10,40,98.8029568195343
51.0,51.0,51.0,23,10,40,103.54386782646179
51.0,51.0,51.0,24,10,40,108.38646697998047
51.0,51.0,51.0,25,10,40,113.54661226272583
51.0,51.0,51.0,26,10,40,118.5632758140564
51.0,51.0,51.0,27,10,40,123.13871049880981
51.0,51.0,51.0,28,10,40,128.7400553226471
51.0,51.0,51.0,29,10,40,133.45453429222107
51.0,51.0,51.0,30,10,40,138.09313130378723
51.0,51.0,51.0,31,10,40,142.83392882347107
51.0,51.0,51.0,32,10,40,148.06578993797302
52.333333333333336,52.333333333333336,52.333333333333336,33,10,40,153.3594777584076
52.333333333333336,52.333333333333336,52.333333333333336,34,10,40,158.92357683181763
52.333333333333336,52.333333333333336,52.333333333333336,35,10,40,164.18545722961426
52.333333333333336,52.333333333333336,52.333333333333336,36,10,40,169.7797350883484
52.333333333333336,52.333333333333336,52.333333333333336,37,10,40,175.1822202205658
52.333333333333336,52.333333333333336,52.333333333333336,38,10,40,180.30616569519043
52.333333333333336,52.333333333333336,52.333333333333336,39,10,40,184.94283056259155
52.333333333333336,52.333333333333336,52.333333333333336,40,10,40,189.52779865264893
52.333333333333336,52.333333333333336,52.333333333333336,41,10,40,195.5726580619812
52.333333333333336,52.333333333333336,52.333333333333336,42,10,40,200.76033568382263
52.333333333333336,52.333333333333336,52.333333333333336,43,10,40,205.8492398262024
52.333333333333336,52.333333333333336,52.333333333333336,44,10,40,210.92454624176025
52.333333333333336,52.333333333333336,52.333333333333336,45,10,40,215.99094080924988
52.333333333333336,52.333333333333336,52.333333333333336,46,10,40,221.27697467803955
52.333333333333336,52.333333333333336,52.333333333333336,47,10,40,226.86475110054016
52.333333333333336,52.333333333333336,52.333333333333336,48,10,40,231.6651201248169
52.333333333333336,52.333333333333336,52.333333333333336,49,10,40,237.20201015472412
60.0,60.0,60.0,50,10,40,242.6683931350708
60.0,60.0,60.0,51,10,40,247.43160390853882
60.0,60.0,60.0,52,10,40,251.64744877815247
60.0,60.0,60.0,53,10,40,256.3995385169983
60.0,60.0,60.0,54,10,40,261.6764268875122
60.0,60.0,60.0,55,10,40,267.009238243103
60.0,60.0,60.0,56,10,40,272.3573887348175
60.0,60.0,60.0,57,10,40,277.38055753707886
60.0,60.0,60.0,58,10,40,282.1218972206116
60.0,60.0,60.0,59,10,40,287.0370788574219
60.0,60.0,60.0,60,10,40,291.62208247184753
60.0,60.0,60.0,61,10,40,296.3345546722412
60.0,60.0,60.0,62,10,40,301.54634380340576
60.0,60.0,60.0,63,10,40,306.8954119682312
60.0,60.0,60.0,64,10,40,312.26698565483093
60.0,60.0,60.0,65,10,40,317.28302693367004
60.0,60.0,60.0,66,10,40,321.46778321266174
60.0,60.0,60.0,67,10,40,326.9488911628723
60.0,60.0,60.0,68,10,40,332.2133071422577
60.0,60.0,60.0,69,10,40,337.26673007011414
60.0,60.0,60.0,70,10,40,342.47184920310974
60.0,60.0,60.0,71,10,40,347.6619997024536
60.0,60.0,60.0,72,10,40,352.5357172489166
60.0,60.0,60.0,73,10,40,357.28758239746094
60.0,60.0,60.0,74,10,40,362.1446626186371
60.0,60.0,60.0,75,10,40,366.869117975235
60.0,60.0,60.0,76,10,40,371.58165311813354
60.0,60.0,60.0,77,10,40,376.3805310726166
60.0,60.0,60.0,78,10,40,381.76646161079407
60.0,60.0,60.0,79,10,40,387.0637409687042
60.0,60.0,60.0,80,10,40,392.3522439002991
60.0,60.0,60.0,81,10,40,397.1739821434021
60.0,60.0,60.0,82,10,40,402.02354097366333
60.0,60.0,60.0,83,10,40,406.68160820007324
60.0,60.0,60.0,84,10,40,411.60431265830994
60.0,60.0,60.0,85,10,40,416.5810341835022
60.0,60.0,60.0,86,10,40,421.97865867614746
60.0,60.0,60.0,87,10,40,426.55190920829773
60.0,60.0,60.0,88,10,40,431.9541127681732
60.0,60.0,60.0,89,10,40,437.8485527038574
60.0,60.0,60.0,90,10,40,442.4377853870392
60.0,60.0,60.0,91,10,40,448.2125897407532
65.33333333333333,65.33333333333333,65.33333333333333,92,10,40,453.3993592262268
65.33333333333333,65.33333333333333,65.33333333333333,93,10,40,458.2441625595093
65.33333333333333,65.33333333333333,65.33333333333333,94,10,40,463.18348693847656
65.33333333333333,65.33333333333333,65.33333333333333,95,10,40,467.8636600971222
65.33333333333333,65.33333333333333,65.33333333333333,96,10,40,472.6422584056854
65.33333333333333,65.33333333333333,65.33333333333333,97,10,40,477.3957026004791
65.33333333333333,65.33333333333333,65.33333333333333,98,10,40,482.45553612709045
65.33333333333333,65.33333333333333,65.33333333333333,99,10,40,487.30235600471497
65.33333333333333,65.33333333333333,65.33333333333333,100,10,40,492.169153213501
65.33333333333333,65.33333333333333,65.33333333333333,101,10,40,497.38816475868225
65.33333333333333,65.33333333333333,65.33333333333333,102,10,40,502.35822677612305
65.33333333333333,65.33333333333333,65.33333333333333,103,10,40,507.51335430145264
65.33333333333333,65.33333333333333,65.33333333333333,104,10,40,512.7944755554199
65.33333333333333,65.33333333333333,65.33333333333333,105,10,40,518.5215022563934
65.33333333333333,65.33333333333333,65.33333333333333,106,10,40,523.5269632339478
65.33333333333333,65.33333333333333,65.33333333333333,107,10,40,529.0278632640839
65.33333333333333,65.33333333333333,65.33333333333333,108,10,40,533.8105545043945
65.33333333333333,65.33333333333333,65.33333333333333,109,10,40,538.3606157302856
65.33333333333333,65.33333333333333,65.33333333333333,110,10,40,543.2638914585114
65.33333333333333,65.33333333333333,65.33333333333333,111,10,40,548.460206747055
65.33333333333333,65.33333333333333,65.33333333333333,112,10,40,553.3523194789886
65.33333333333333,65.33333333333333,65.33333333333333,113,10,40,557.5675299167633
65.33333333333333,65.33333333333333,65.33333333333333,114,10,40,562.6694533824921
65.33333333333333,65.33333333333333,65.33333333333333,115,10,40,567.8059318065643
65.33333333333333,65.33333333333333,65.33333333333333,116,10,40,573.1647243499756
65.33333333333333,65.33333333333333,65.33333333333333,117,10,40,577.6664652824402
65.33333333333333,65.33333333333333,65.33333333333333,118,10,40,582.2479708194733
65.33333333333333,65.33333333333333,65.33333333333333,119,10,40,587.3175354003906
65.33333333333333,65.33333333333333,65.33333333333333,120,10,40,592.3488473892212
65.33333333333333,65.33333333333333,65.33333333333333,121,10,40,596.8618042469025
65.33333333333333,65.33333333333333,65.33333333333333,122,10,40,602.9034943580627
65.33333333333333,65.33333333333333,65.33333333333333,123,10,40,608.0471985340118
65.33333333333333,65.33333333333333,65.33333333333333,124,10,40,612.6538364887238
65.33333333333333,65.33333333333333,65.33333333333333,125,10,40,617.7142539024353
65.33333333333333,65.33333333333333,65.33333333333333,126,10,40,622.1172351837158
65.33333333333333,65.33333333333333,65.33333333333333,127,10,40,627.1297466754913
65.33333333333333,65.33333333333333,65.33333333333333,128,10,40,631.490704536438
65.33333333333333,65.33333333333333,65.33333333333333,129,10,40,636.5894069671631
65.33333333333333,65.33333333333333,65.33333333333333,130,10,40,641.926167011261
65.33333333333333,65.33333333333333,65.33333333333333,131,10,40,646.7472515106201
65.33333333333333,65.33333333333333,65.33333333333333,132,10,40,651.4247052669525
65.33333333333333,65.33333333333333,65.33333333333333,133,10,40,656.3781640529633
65.33333333333333,65.33333333333333,65.33333333333333,134,10,40,661.2006673812866
65.33333333333333,65.33333333333333,65.33333333333333,135,10,40,666.0719544887543
65.33333333333333,65.33333333333333,65.33333333333333,136,10,40,671.0806851387024
65.33333333333333,65.33333333333333,65.33333333333333,137,10,40,675.7214865684509
65.33333333333333,65.33333333333333,65.33333333333333,138,10,40,680.681976556778
65.33333333333333,65.33333333333333,65.33333333333333,139,10,40,685.6712591648102
65.33333333333333,65.33333333333333,65.33333333333333,140,10,40,690.4275095462799
65.33333333333333,65.33333333333333,65.33333333333333,141,10,40,695.4849553108215
65.33333333333333,65.33333333333333,65.33333333333333,142,10,40,700.3242611885071
65.33333333333333,65.33333333333333,65.33333333333333,143,10,40,705.2825734615326
65.33333333333333,65.33333333333333,65.33333333333333,144,10,40,710.3664088249207
65.33333333333333,65.33333333333333,65.33333333333333,145,10,40,715.6309204101562
65.33333333333333,65.33333333333333,65.33333333333333,146,10,40,720.666750907898
65.33333333333333,65.33333333333333,65.33333333333333,147,10,40,725.8731482028961
65.33333333333333,65.33333333333333,65.33333333333333,148,10,40,730.1931788921356
65.33333333333333,65.33333333333333,65.33333333333333,149,10,40,735.3102419376373
65.33333333333333,65.33333333333333,65.33333333333333,150,10,40,740.3638701438904
65.33333333333333,65.33333333333333,65.33333333333333,151,10,40,745.2979118824005
65.33333333333333,65.33333333333333,65.33333333333333,152,10,40,750.2939355373383
65.33333333333333,65.33333333333333,65.33333333333333,153,10,40,755.4141707420349
65.33333333333333,65.33333333333333,65.33333333333333,154,10,40,760.6159737110138
65.33333333333333,65.33333333333333,65.33333333333333,155,10,40,765.6047086715698
65.33333333333333,65.33333333333333,65.33333333333333,156,10,40,770.6772713661194
65.33333333333333,65.33333333333333,65.33333333333333,157,10,40,775.7177724838257
65.33333333333333,65.33333333333333,65.33333333333333,158,10,40,780.3895325660706
65.33333333333333,65.33333333333333,65.33333333333333,159,10,40,784.8482205867767
65.33333333333333,65.33333333333333,65.33333333333333,160,10,40,789.4965872764587
65.33333333333333,65.33333333333333,65.33333333333333,161,10,40,794.6382803916931
65.33333333333333,65.33333333333333,65.33333333333333,162,10,40,799.8556430339813
65.33333333333333,65.33333333333333,65.33333333333333,163,10,40,804.8722851276398
65.33333333333333,65.33333333333333,65.33333333333333,164,10,40,810.1638717651367
65.33333333333333,65.33333333333333,65.33333333333333,165,10,40,815.0764470100403
65.33333333333333,65.33333333333333,65.33333333333333,166,10,40,819.9620378017426
65.33333333333333,65.33333333333333,65.33333333333333,167,10,40,824.7835159301758
65.33333333333333,65.33333333333333,65.33333333333333,168,10,40,830.2761526107788
65.33333333333333,65.33333333333333,65.33333333333333,169,10,40,834.9146904945374
65.33333333333333,65.33333333333333,65.33333333333333,170,10,40,839.9168839454651
65.33333333333333,65.33333333333333,65.33333333333333,171,10,40,845.2894065380096
65.33333333333333,65.33333333333333,65.33333333333333,172,10,40,850.3193001747131
65.33333333333333,65.33333333333333,65.33333333333333,173,10,40,855.497611284256
