best,generations,runtime
0.628,1,44.3233962059021
0.628,2,89.20155644416809
0.628,3,134.96966075897217
0.628,4,181.10232210159302
0.628,5,228.57470512390137
0.628,6,274.69331645965576
0.6880000000000001,7,322.65547370910645
0.6880000000000001,8,370.1530623435974
0.6880000000000001,9,415.5716667175293
0.6880000000000001,10,460.7615110874176
0.727,11,507.345406293869
0.727,12,552.8568549156189
0.727,13,600.4750120639801
0.727,14,646.5110731124878
0.727,15,691.2120141983032
0.727,16,733.8954329490662
0.727,17,779.107381105423
0.727,18,824.4792597293854
0.727,19,865.8830049037933
0.727,20,911.9718668460846
0.727,21,956.2950358390808
0.727,22,1001.328572511673
0.727,23,1046.4466676712036
0.727,24,1092.0352292060852
0.727,25,1135.829707145691
0.727,26,1182.8081531524658
0.727,27,1226.7218129634857
0.727,28,1270.3665044307709
0.727,29,1316.0641651153564
0.727,30,1361.0084314346313
0.727,31,1404.5142660140991
0.727,32,1448.3951613903046
0.727,33,1493.8369269371033
0.733,34,1539.2560775279999
0.733,35,1586.1647679805756
0.733,36,1632.1519191265106
0.733,37,1678.7594110965729
0.733,38,1724.9272620677948
0.733,39,1768.3221776485443
0.757,40,1814.1248846054077
0.757,41,1863.191848039627
0.757,42,1903.9715547561646
0.757,43,1948.4617159366608
0.757,44,1992.245491027832
0.757,45,2038.312756538391
0.757,46,2081.598685503006
0.757,47,2129.2695004940033
0.757,48,2175.1501276493073
0.757,49,2220.9020664691925
0.757,50,2265.465493440628
0.757,51,2310.6418120861053
0.757,52,2359.224343061447
0.757,53,2404.612165212631
0.757,54,2451.7951049804688
0.757,55,2497.5948095321655
0.757,56,2543.212036371231
0.757,57,2588.3510308265686
0.79,58,2631.903742313385
0.79,59,2677.2303700447083
0.79,60,2721.4339594841003
0.79,61,2767.707065820694
0.79,62,2813.0235981941223
0.79,63,2857.616685152054
0.79,64,2902.3924548625946
0.79,65,2948.432409286499
0.79,66,2991.7552168369293
0.79,67,3035.7361385822296
0.79,68,3079.4799695014954
0.79,69,3121.54022359848
0.79,70,3166.8353564739227
0.79,71,3213.3415904045105
0.79,72,3257.4821298122406
0.79,73,3302.16560959816
0.79,74,3348.2655351161957
0.79,75,3394.5750885009766
0.79,76,3439.629647254944
0.79,77,3482.881944179535
0.79,78,3525.8849251270294
0.79,79,3571.191881418228
0.79,80,3615.6701447963715
0.79,81,3661.9518933296204
0.79,82,3706.958859682083
0.79,83,3751.1704585552216
0.79,84,3795.3803532123566
0.79,85,3840.934652328491
0.79,86,3888.4213960170746
0.79,87,3933.928946495056
0.79,88,3977.5104835033417
0.79,89,4024.1681530475616
0.79,90,4070.28054356575
0.79,91,4114.975290775299
0.79,92,4159.167946577072
0.79,93,4203.123641490936
0.79,94,4250.034762144089
0.79,95,4295.261462926865
0.79,96,4343.3055148124695
0.79,97,4390.8203139305115
0.79,98,4435.400643825531
0.79,99,4479.144066333771
0.79,100,4522.606317996979
0.79,101,4568.24756526947
0.79,102,4615.294780492783
0.79,103,4661.101280450821
0.79,104,4706.076219558716
0.79,105,4750.924925088882
0.79,106,4794.93696975708
0.79,107,4841.519730329514
0.79,108,4887.427360296249
0.79,109,4932.2933177948
0.79,110,4978.29910492897
0.79,111,5024.007505893707
0.79,112,5068.993335723877
0.79,113,5115.976946592331
0.79,114,5160.9790687561035
0.79,115,5205.566545963287
