best,generations,runtime
0.823,293,13218.579640626907
0.823,294,13263.015980243683
0.823,295,13307.329693555832
0.823,296,13351.401223182678
0.823,297,13397.292500019073
0.823,298,13443.206622123718
0.823,299,13488.46212387085
0.823,300,13532.882454633713
0.823,301,13577.75561952591
0.823,302,13622.326076507568
0.823,303,13666.933758497238
0.823,304,13711.719805240631
0.823,305,13757.41019153595
0.823,306,13803.673363924026
0.823,307,13848.78840970993
0.823,308,13894.724030256271
0.823,309,13938.069677591324
0.823,310,13982.198949575424
0.823,311,14024.8012008667
0.823,312,14071.102268218994
0.823,313,14114.80208492279
0.823,314,14159.14904141426
0.823,315,14205.73496890068
0.823,316,14251.141347408295
0.823,317,14294.876506328583
0.823,318,14340.953743696213
0.823,319,14384.90058541298
0.823,320,14430.081285715103
0.823,321,14475.793593645096
0.823,322,14519.219511032104
0.823,323,14563.547456264496
0.823,324,14609.429645299911
0.823,325,14656.452256917953
0.823,326,14702.7263610363
0.823,327,14746.536831140518
0.823,328,14791.457911968231
0.823,329,14836.69760799408
0.823,330,14882.646805524826
0.823,331,14927.659455776215
0.823,332,14973.481683254242
0.823,333,15019.156006097794
0.823,334,15063.756545305252
0.823,335,15108.616315841675
0.823,336,15154.521305799484
0.823,337,15200.074507713318
0.823,338,15244.461594343185
0.823,339,15289.317904472351
0.823,340,15335.186511039734
0.823,341,15380.729197740555
0.823,342,15428.184304714203
0.823,343,15472.606876373291
0.823,344,15515.980966091156
0.823,345,15558.37950706482
0.823,346,15603.349639892578
0.823,347,15650.179946184158
0.823,348,15695.035320520401
0.823,349,15739.199077129364
0.823,350,15782.738797903061
0.823,351,15827.918235063553
0.823,352,15874.855298042297
0.823,353,15917.978132486343
0.823,354,15963.005110025406
0.823,355,16007.484563112259
0.823,356,16051.195957422256
0.823,357,16094.011677742004
0.823,358,16141.161130666733
0.823,359,16186.918348789215
0.823,360,16231.681501865387
0.823,361,16278.46701169014
0.823,362,16324.973754882812
0.823,363,16369.65459036827
0.823,364,16415.331647872925
0.823,365,16460.46098446846
0.823,366,16504.97779083252
0.823,367,16548.523628234863
0.823,368,16592.948605537415
0.823,369,16638.092478752136
0.823,370,16683.7746424675
0.823,371,16727.32967686653
0.823,372,16770.921442985535
0.823,373,16816.044893026352
0.823,374,16863.54210615158
0.823,375,16909.847331762314
0.823,376,16955.418359041214
0.823,377,17002.342223882675
0.823,378,17046.466889619827
0.823,379,17091.133450746536
0.823,380,17136.960636615753
0.823,381,17184.21740269661
0.823,382,17229.591578006744
0.823,383,17272.212380886078
0.823,384,17318.88249564171
0.823,385,17363.912687540054
0.823,386,17409.68871307373
