best,generations,runtime
42.0,1,53.82146072387695
43.0,2,107.86785745620728
43.0,3,161.94646763801575
43.0,4,214.85587906837463
43.0,5,267.45380878448486
49.333333333333336,6,321.15744805336
49.333333333333336,7,374.32762455940247
49.333333333333336,8,426.74365520477295
49.333333333333336,9,480.7312071323395
49.333333333333336,10,534.557473897934
49.333333333333336,11,586.083651304245
49.333333333333336,12,639.4960570335388
49.333333333333336,13,692.4616208076477
49.333333333333336,14,745.3851869106293
51.0,15,800.5241644382477
51.0,16,855.311313867569
51.0,17,909.0365142822266
51.0,18,962.4595441818237
51.0,19,1016.778838634491
51.0,20,1069.7841749191284
51.0,21,1122.1445343494415
51.0,22,1176.3172113895416
51.0,23,1230.1795897483826
51.0,24,1284.1320433616638
51.0,25,1337.697734117508
52.0,26,1392.3143784999847
52.0,27,1445.3632996082306
52.0,28,1499.2053360939026
52.0,29,1551.2409963607788
52.0,30,1603.4117238521576
52.0,31,1656.8041033744812
52.0,32,1710.3855185508728
52.0,33,1763.177985906601
52.0,34,1816.0201370716095
52.0,35,1869.6088480949402
52.0,36,1923.6676745414734
52.0,37,1977.7835273742676
52.0,38,2031.6519770622253
52.0,39,2085.319673538208
52.0,40,2138.732161998749
52.0,41,2193.014689683914
52.0,42,2246.8220496177673
52.0,43,2300.608043193817
52.0,44,2352.106605052948
52.0,45,2405.5193285942078
52.0,46,2457.4803643226624
52.0,47,2511.404391527176
52.0,48,2565.0201485157013
52.0,49,2618.4653708934784
52.0,50,2673.0524005889893
52.0,51,2726.656651735306
52.0,52,2781.1626732349396
52.0,53,2835.2430350780487
52.0,54,2889.246755838394
52.0,55,2942.431587934494
52.0,56,2996.3817722797394
52.0,57,3048.8615188598633
52.0,58,3102.686525583267
52.0,59,3155.58966422081
52.0,60,3209.4805448055267
52.0,61,3261.095960378647
52.0,62,3313.3765184879303
52.0,63,3367.4012484550476
52.0,64,3420.2531180381775
52.0,65,3473.6011481285095
52.0,66,3528.137630224228
52.0,67,3582.154772758484
52.0,68,3634.6305029392242
52.0,69,3686.543055534363
52.0,70,3739.498607158661
52.0,71,3794.6229588985443
52.0,72,3847.1865792274475
52.0,73,3901.115306377411
52.0,74,3953.869598388672
52.0,75,4006.959071159363
52.0,76,4059.8713324069977
52.0,77,4113.975404024124
52.0,78,4166.262944459915
52.0,79,4221.027387857437
52.0,80,4273.424218654633
52.0,81,4326.0231766700745
52.0,82,4380.759473562241
52.0,83,4434.358999013901
52.0,84,4488.733345985413
52.0,85,4543.559695959091
52.0,86,4598.299253702164
52.0,87,4651.622065067291
52.0,88,4705.631768941879
52.0,89,4760.45868396759
52.0,90,4813.936607122421
52.0,91,4867.485343456268
52.0,92,4921.022469520569
52.0,93,4973.816063165665
52.0,94,5028.283575296402
52.0,95,5081.293113231659
54.0,96,5134.973002195358
54.0,97,5188.659039735794
54.0,98,5241.207384347916
54.0,99,5294.787335395813
54.0,100,5348.30791425705
54.0,101,5402.904082775116
54.0,102,5456.22660946846
54.0,103,5509.432826042175
54.0,104,5562.9643523693085
54.0,105,5616.229971170425
54.0,106,5668.484513282776
54.0,107,5720.975552082062
54.0,108,5775.652366399765
54.0,109,5828.616231203079
54.0,110,5879.207219362259
54.0,111,5930.772509336472
54.0,112,5983.8992075920105
54.0,113,6036.113927125931
54.0,114,6089.254296302795
54.0,115,6142.274607896805
54.0,116,6195.679683685303
54.0,117,6248.168008565903
54.0,118,6300.339611530304
54.0,119,6354.364105939865
56.0,120,6407.176757335663
56.0,121,6461.809532880783
56.0,122,6516.768374681473
56.0,123,6569.443623542786
56.0,124,6621.797276258469
56.0,125,6674.633367776871
56.0,126,6727.612869024277
56.0,127,6780.994418859482
56.0,128,6832.812238693237
56.0,129,6886.034767150879
56.0,130,6939.1038138866425
56.0,131,6990.807542800903
56.0,132,7043.4878969192505
56.0,133,7096.603550434113
56.0,134,7148.536034822464
56.0,135,7202.15420293808
56.0,136,7254.510229110718
56.0,137,7307.560958862305
56.0,138,7361.379606723785
56.0,139,7415.131880760193
56.0,140,7468.696495294571
56.0,141,7523.355819702148
56.0,142,7577.253712177277
56.0,143,7631.6477971076965
56.0,144,7684.778541326523
56.0,145,7736.590423107147
56.0,146,7789.737756967545
56.0,147,7843.502501010895
56.0,148,7895.432893037796
56.0,149,7949.121381044388
56.0,150,8002.915546655655
56.0,151,8055.5146498680115
56.0,152,8107.9466252326965
56.0,153,8159.504382133484
56.0,154,8212.175372362137
56.0,155,8265.437459230423
56.0,156,8319.281886100769
56.0,157,8371.785519361496
56.0,158,8425.303409099579
56.0,159,8477.489595890045
56.0,160,8530.381685972214
56.0,161,8584.782777309418
56.0,162,8639.470954418182
56.0,163,8692.980165481567
56.0,164,8747.691294908524
56.0,165,8800.438000917435
56.0,166,8853.382457494736
56.0,167,8905.350731611252
56.0,168,8958.994540214539
56.0,169,9014.364235401154
56.0,170,9068.631770849228
56.0,171,9121.047962665558
59.666666666666664,172,9174.216173171997
59.666666666666664,173,9227.215723514557
59.666666666666664,174,9280.181300878525
59.666666666666664,175,9331.53911781311
59.666666666666664,176,9385.046638011932
59.666666666666664,177,9438.129370212555
59.666666666666664,178,9491.740385770798
59.666666666666664,179,9542.951826572418
59.666666666666664,180,9596.278341770172
59.666666666666664,181,9649.640945911407
59.666666666666664,182,9703.516617774963
59.666666666666664,183,9755.398675203323
59.666666666666664,184,9808.481494188309
59.666666666666664,185,9861.440013170242
59.666666666666664,186,9916.791298627853
59.666666666666664,187,9971.790471315384
59.666666666666664,188,10025.707948446274
59.666666666666664,189,10078.748552799225
61.333333333333336,190,10131.596212387085
61.333333333333336,191,10186.005020856857
61.333333333333336,192,10238.364488601685
61.333333333333336,193,10291.059402704239
61.333333333333336,194,10344.653718471527
61.333333333333336,195,10398.123047590256
61.333333333333336,196,10451.06930565834
61.333333333333336,197,10504.804678678513
61.333333333333336,198,10557.896881341934
61.333333333333336,199,10611.874874830246
61.333333333333336,200,10664.856750011444
61.333333333333336,201,10718.608116149902
61.333333333333336,202,10772.478061676025
61.333333333333336,203,10825.751641511917
61.333333333333336,204,10878.88509774208
61.333333333333336,205,10932.832763910294
61.333333333333336,206,10985.22888803482
61.333333333333336,207,11038.7519261837
61.333333333333336,208,11091.920670032501
61.333333333333336,209,11145.843119621277
61.333333333333336,210,11200.169796466827
61.333333333333336,211,11253.91640996933
61.333333333333336,212,11307.563642978668
61.333333333333336,213,11360.934611558914
61.333333333333336,214,11413.364412784576
61.333333333333336,215,11466.939268350601
61.333333333333336,216,11520.587431430817
61.333333333333336,217,11575.16480088234
61.333333333333336,218,11628.15520143509
61.333333333333336,219,11679.372740030289
61.333333333333336,220,11734.095518827438
61.333333333333336,221,11786.793067216873
61.333333333333336,222,11839.985815048218
61.333333333333336,223,11893.65547466278
61.333333333333336,224,11947.833937883377
61.333333333333336,225,12001.518620729446
61.333333333333336,226,12054.355283498764
61.333333333333336,227,12108.193005084991
61.333333333333336,228,12163.682348251343
61.333333333333336,229,12216.451500177383
61.333333333333336,230,12270.896365880966
61.333333333333336,231,12322.901663064957
61.333333333333336,232,12376.715618610382
61.333333333333336,233,12429.999984502792
61.333333333333336,234,12481.543110609055
61.333333333333336,235,12533.989466428757
61.333333333333336,236,12585.616958379745
61.333333333333336,237,12639.462697267532
61.333333333333336,238,12693.758503198624
61.333333333333336,239,12747.84810757637
61.333333333333336,240,12801.857488393784
61.333333333333336,241,12856.255258321762
61.333333333333336,242,12911.090463638306
61.333333333333336,243,12964.34424829483
