best,generations,runtime
32.666666666666664,1,52.82698464393616
44.333333333333336,2,106.54889726638794
44.333333333333336,3,159.71259117126465
44.333333333333336,4,213.9143190383911
44.333333333333336,5,266.85362458229065
44.333333333333336,6,321.80607509613037
62.0,7,375.25825333595276
62.0,8,427.867879152298
62.0,9,481.1971986293793
62.0,10,532.6614108085632
62.0,11,587.0979557037354
62.0,12,640.1700553894043
62.0,13,691.5339012145996
62.0,14,745.0378246307373
62.0,15,796.5469088554382
62.0,16,850.2108216285706
62.0,17,902.9568562507629
62.0,18,956.5065181255341
62.0,19,1008.9431931972504
62.0,20,1062.1258006095886
62.0,21,1114.1633582115173
62.0,22,1168.3408980369568
62.0,23,1220.448501586914
62.0,24,1274.1738998889923
62.0,25,1326.0136046409607
62.0,26,1378.3227291107178
62.0,27,1430.855262517929
62.0,28,1484.6407930850983
62.0,29,1537.0892860889435
62.0,30,1589.075049161911
62.0,31,1642.6627576351166
62.0,32,1696.7551782131195
62.0,33,1751.737808227539
62.0,34,1805.6534831523895
62.0,35,1859.929227590561
62.0,36,1913.923587322235
62.0,37,1967.135102033615
62.0,38,2019.5179188251495
62.0,39,2072.1598949432373
62.0,40,2124.8908953666687
62.0,41,2179.1078374385834
62.0,42,2231.38610291481
62.0,43,2285.374351978302
62.0,44,2338.2536664009094
62.0,45,2392.158914089203
62.0,46,2444.9854021072388
62.0,47,2499.9852499961853
62.0,48,2554.831811904907
62.0,49,2608.4191179275513
62.0,50,2660.826652288437
62.0,51,2713.43630027771
62.0,52,2766.7774946689606
62.0,53,2820.857486963272
62.0,54,2875.026303291321
62.0,55,2928.929385662079
62.0,56,2982.3526911735535
62.0,57,3036.014495372772
62.0,58,3090.976054430008
62.0,59,3144.7842087745667
62.0,60,3197.3077807426453
62.0,61,3249.6682600975037
62.0,62,3303.132428407669
62.0,63,3357.5635364055634
62.0,64,3410.88462972641
62.0,65,3464.8245933055878
62.0,66,3519.4468088150024
62.0,67,3571.0725593566895
62.0,68,3625.7941019535065
62.0,69,3678.8119463920593
62.0,70,3732.128722190857
62.0,71,3786.58056473732
62.0,72,3838.629072666168
62.0,73,3892.986911058426
62.0,74,3944.0199716091156
62.0,75,3997.8714468479156
62.0,76,4052.003928422928
62.0,77,4106.107607603073
62.0,78,4158.715704202652
62.0,79,4211.825001716614
62.0,80,4265.049592733383
62.0,81,4320.102154016495
62.0,82,4374.006457567215
62.0,83,4427.029508829117
62.0,84,4479.102090358734
62.0,85,4533.547721147537
62.0,86,4585.372380495071
62.0,87,4638.727909326553
62.0,88,4692.71594953537
62.0,89,4747.10790014267
62.0,90,4799.905851602554
62.0,91,4853.043084383011
62.0,92,4908.165828466415
