raw,rawselected,best,generations,runtime
[15.666666666666666],[15.666666666666666],85.0,1,4.605545282363892
[9.333333333333334],[9.333333333333334],85.0,2,6.765662431716919
[12.0],[12.0],91.66666666666667,3,9.589035272598267
[11.0],[11.0],91.66666666666667,4,11.924038887023926
[16.0],[16.0],91.66666666666667,5,14.533305644989014
[10.666666666666666],[10.666666666666666],91.66666666666667,6,17.549073219299316
[23.333333333333332],[23.333333333333332],91.66666666666667,7,20.23490047454834
[9.333333333333334],[9.333333333333334],91.66666666666667,8,22.738971948623657
[21.333333333333332],[21.333333333333332],91.66666666666667,9,25.147602796554565
[14.0],[14.0],91.66666666666667,10,28.34678554534912
[21.0],[21.0],91.66666666666667,11,30.797616243362427
[28.666666666666668],[28.666666666666668],91.66666666666667,12,33.30404257774353
[21.333333333333332],[21.333333333333332],91.66666666666667,13,35.71456456184387
[17.666666666666668],[17.666666666666668],91.66666666666667,14,38.69486403465271
[39.666666666666664],[39.666666666666664],91.66666666666667,15,40.81176710128784
[17.0],[17.0],229.66666666666666,16,44.31660270690918
[11.0],[11.0],229.66666666666666,17,47.44494843482971
[18.333333333333332],[18.333333333333332],229.66666666666666,18,49.62995672225952
[27.333333333333332],[27.333333333333332],229.66666666666666,19,52.08152365684509
[24.0],[24.0],229.66666666666666,20,54.82114315032959
[11.333333333333334],[11.333333333333334],229.66666666666666,21,57.16449570655823
[12.666666666666666],[12.666666666666666],229.66666666666666,22,60.26829981803894
[12.333333333333334],[12.333333333333334],229.66666666666666,23,62.252732276916504
[18.0],[18.0],500.0,24,68.15806579589844
[11.666666666666666],[11.666666666666666],500.0,25,71.79892778396606
[16.333333333333332],[16.333333333333332],500.0,26,74.05190563201904
[38.333333333333336],[38.333333333333336],500.0,27,77.55095410346985
[9.333333333333334],[9.333333333333334],500.0,28,80.15980100631714
[13.0],[13.0],500.0,29,83.40094709396362
[38.333333333333336],[38.333333333333336],500.0,30,86.22788119316101
[13.666666666666666],[13.666666666666666],500.0,31,88.76055073738098
[12.0],[12.0],500.0,32,91.40670585632324
[15.333333333333334],[15.333333333333334],500.0,33,93.57692980766296
[40.0],[40.0],500.0,34,96.42710423469543
[24.333333333333332],[24.333333333333332],500.0,35,98.93232417106628
[13.0],[13.0],500.0,36,101.18999743461609
[12.666666666666666],[12.666666666666666],500.0,37,103.97996735572815
[28.666666666666668],[28.666666666666668],500.0,38,106.50086092948914
[12.0],[12.0],500.0,39,108.57954144477844
[10.333333333333334],[10.333333333333334],500.0,40,112.1959707736969
[23.333333333333332],[23.333333333333332],500.0,41,114.1470398902893
[9.666666666666666],[9.666666666666666],500.0,42,116.28607201576233
[16.0],[16.0],500.0,43,119.6974709033966
[17.0],[17.0],500.0,44,122.02575635910034
[13.333333333333334],[13.333333333333334],500.0,45,124.26914072036743
[13.333333333333334],[13.333333333333334],500.0,46,128.6379828453064
[21.666666666666668],[21.666666666666668],500.0,47,130.8899872303009
[9.666666666666666],[9.666666666666666],500.0,48,133.72127389907837
[10.0],[10.0],500.0,49,136.03651070594788
[9.0],[9.0],500.0,50,138.83848237991333
[25.333333333333332],[25.333333333333332],500.0,51,141.40698075294495
[10.333333333333334],[10.333333333333334],500.0,52,144.0369417667389
[34.666666666666664],[34.666666666666664],500.0,53,149.12600111961365
[18.333333333333332],[18.333333333333332],500.0,54,151.93879079818726
[11.0],[11.0],500.0,55,154.24224090576172
[35.333333333333336],[35.333333333333336],500.0,56,156.64176607131958
[9.666666666666666],[9.666666666666666],500.0,57,158.94066333770752
[18.666666666666668],[18.666666666666668],500.0,58,161.91436052322388
[17.0],[17.0],500.0,59,164.32609915733337
[26.666666666666668],[26.666666666666668],500.0,60,166.65605568885803
[11.0],[11.0],500.0,61,169.13765215873718
[13.0],[13.0],500.0,62,172.93376874923706
[20.333333333333332],[20.333333333333332],500.0,63,175.270813703537
[40.0],[40.0],500.0,64,177.97950983047485
[12.0],[12.0],500.0,65,180.5382947921753
[11.333333333333334],[11.333333333333334],500.0,66,182.82327103614807
[16.333333333333332],[16.333333333333332],500.0,67,185.77205991744995
[9.333333333333334],[9.333333333333334],500.0,68,188.47811698913574
[9.666666666666666],[9.666666666666666],500.0,69,190.73696994781494
[9.666666666666666],[9.666666666666666],500.0,70,192.83843898773193
[17.0],[17.0],500.0,71,195.39236760139465
[43.333333333333336],[43.333333333333336],500.0,72,197.7567322254181
[9.666666666666666],[9.666666666666666],500.0,73,200.72446274757385
[13.666666666666666],[13.666666666666666],500.0,74,203.94736742973328
