raw,rawselected,best,generations,runtime
[11.666666666666666],[11.666666666666666],43.0,1,4.35164737701416
[12.0],[12.0],57.0,2,6.737326145172119
[14.0],[14.0],57.0,3,8.910085201263428
[10.333333333333334],[10.333333333333334],61.0,4,11.489338874816895
[21.333333333333332],[21.333333333333332],114.33333333333333,5,14.849735260009766
[16.0],[16.0],114.33333333333333,6,17.27011227607727
[13.333333333333334],[13.333333333333334],114.33333333333333,7,19.839550495147705
[12.0],[12.0],201.0,8,23.878267288208008
[28.333333333333332],[28.333333333333332],201.0,9,26.289014101028442
[13.666666666666666],[13.666666666666666],201.0,10,29.470130920410156
[39.666666666666664],[39.666666666666664],201.0,11,32.20976448059082
[32.666666666666664],[32.666666666666664],201.0,12,35.18906307220459
[14.666666666666666],[14.666666666666666],201.0,13,37.97494602203369
[22.333333333333332],[22.333333333333332],201.0,14,40.323933362960815
[19.0],[19.0],201.0,15,42.51044178009033
[38.333333333333336],[38.333333333333336],201.0,16,45.521803855895996
[14.0],[14.0],201.0,17,49.00486493110657
[11.666666666666666],[11.666666666666666],201.0,18,51.752901792526245
[11.333333333333334],[11.333333333333334],201.0,19,54.12064981460571
[20.0],[20.0],201.0,20,56.86760592460632
[10.0],[10.0],201.0,21,59.35461091995239
[10.0],[10.0],201.0,22,61.597678661346436
[17.0],[17.0],201.0,23,64.40315246582031
[13.333333333333334],[13.333333333333334],201.0,24,66.87018132209778
[17.0],[17.0],201.0,25,69.2505190372467
[31.0],[31.0],201.0,26,72.2486777305603
[11.666666666666666],[11.666666666666666],201.0,27,74.58976006507874
[13.0],[13.0],201.0,28,77.48691010475159
[13.666666666666666],[13.666666666666666],201.0,29,80.49431991577148
[12.0],[12.0],201.0,30,83.3229296207428
[79.66666666666667],[79.66666666666667],201.0,31,87.23270869255066
[20.333333333333332],[20.333333333333332],201.0,32,89.64113926887512
[15.666666666666666],[15.666666666666666],201.0,33,93.08681440353394
[28.333333333333332],[28.333333333333332],201.0,34,96.89097833633423
[26.666666666666668],[26.666666666666668],201.0,35,99.40700674057007
[25.0],[25.0],201.0,36,102.0533971786499
[34.333333333333336],[34.333333333333336],201.0,37,104.30991435050964
[22.333333333333332],[22.333333333333332],201.0,38,106.72493648529053
[9.666666666666666],[9.666666666666666],347.3333333333333,39,111.43208312988281
[12.333333333333334],[12.333333333333334],347.3333333333333,40,114.03826665878296
[25.333333333333332],[25.333333333333332],347.3333333333333,41,116.26639175415039
[13.0],[13.0],347.3333333333333,42,119.29532408714294
[18.666666666666668],[18.666666666666668],347.3333333333333,43,121.66020083427429
[20.0],[20.0],347.3333333333333,44,124.55224442481995
[20.0],[20.0],347.3333333333333,45,126.95618510246277
[10.333333333333334],[10.333333333333334],347.3333333333333,46,130.01360869407654
[14.0],[14.0],347.3333333333333,47,132.46550583839417
[17.333333333333332],[17.333333333333332],347.3333333333333,48,134.92169952392578
[16.666666666666668],[16.666666666666668],347.3333333333333,49,137.0424017906189
[15.333333333333334],[15.333333333333334],347.3333333333333,50,139.38388752937317
[13.0],[13.0],347.3333333333333,51,141.41511034965515
[10.333333333333334],[10.333333333333334],347.3333333333333,52,143.68051767349243
[14.333333333333334],[14.333333333333334],347.3333333333333,53,147.31408548355103
[14.666666666666666],[14.666666666666666],347.3333333333333,54,149.71440362930298
[15.0],[15.0],347.3333333333333,55,151.80517601966858
[25.333333333333332],[25.333333333333332],347.3333333333333,56,154.04361248016357
[9.0],[9.0],347.3333333333333,57,156.61978888511658
[34.666666666666664],[34.666666666666664],347.3333333333333,58,161.34346747398376
[19.666666666666668],[19.666666666666668],347.3333333333333,59,163.75906920433044
[182.0],[182.0],347.3333333333333,60,167.60569286346436
[14.0],[14.0],347.3333333333333,61,169.83276748657227
[114.33333333333333],[114.33333333333333],347.3333333333333,62,176.31610822677612
[13.0],[13.0],347.3333333333333,63,179.57270050048828
[13.333333333333334],[13.333333333333334],347.3333333333333,64,181.9471950531006
[9.666666666666666],[9.666666666666666],347.3333333333333,65,184.53118252754211
[12.0],[12.0],347.3333333333333,66,187.8108630180359
[13.666666666666666],[13.666666666666666],347.3333333333333,67,191.54754304885864
[14.0],[14.0],347.3333333333333,68,193.73326110839844
[26.0],[26.0],347.3333333333333,69,196.83973002433777
[9.0],[9.0],347.3333333333333,70,199.80603575706482
[13.666666666666666],[13.666666666666666],347.3333333333333,71,202.7740180492401
[11.333333333333334],[11.333333333333334],347.3333333333333,72,205.1172308921814
