raw,rawselected,best,generations,temperature,runtime
9.666666666666666,9.666666666666666,9.666666666666666,1,500000.0,0.06869387626647949
31.0,31.0,31.0,2,500000.0,0.24453020095825195
11.666666666666666,11.666666666666666,31.0,3,500000.0,0.31767868995666504
17.333333333333332,17.333333333333332,31.0,4,500000.0,0.42097902297973633
30.333333333333332,30.333333333333332,31.0,5,500000.0,0.5995485782623291
20.0,20.0,31.0,6,500000.0,0.7177009582519531
9.333333333333334,9.333333333333334,31.0,7,500000.0,0.7769100666046143
17.666666666666668,17.666666666666668,31.0,8,500000.0,0.8837981224060059
17.666666666666668,17.666666666666668,31.0,9,500000.0,0.9890701770782471
16.0,16.0,31.0,10,500000.0,1.0856170654296875
16.666666666666668,16.666666666666668,31.0,11,500000.0,1.1878340244293213
17.0,17.0,31.0,12,500000.0,1.2928731441497803
14.0,14.0,31.0,13,500000.0,1.378342628479004
25.666666666666668,25.666666666666668,31.0,14,500000.0,1.530189037322998
19.333333333333332,19.333333333333332,31.0,15,500000.0,1.6459767818450928
19.0,19.0,31.0,16,500000.0,1.758699655532837
14.333333333333334,14.333333333333334,31.0,17,500000.0,1.8460087776184082
21.666666666666668,21.666666666666668,31.0,18,500000.0,1.9738407135009766
11.0,11.0,31.0,19,500000.0,2.0425968170166016
28.0,28.0,31.0,20,500000.0,2.2064414024353027
9.333333333333334,9.333333333333334,31.0,21,500000.0,2.266669750213623
13.0,13.0,31.0,22,500000.0,2.34860897064209
9.333333333333334,9.333333333333334,31.0,23,500000.0,2.4078550338745117
10.0,10.0,31.0,24,500000.0,2.471439838409424
9.0,9.0,31.0,25,500000.0,2.529850721359253
14.333333333333334,14.333333333333334,31.0,26,500000.0,2.6181087493896484
9.666666666666666,9.666666666666666,31.0,27,500000.0,2.6802449226379395
15.333333333333334,15.333333333333334,31.0,28,500000.0,2.7729809284210205
11.0,11.0,31.0,29,500000.0,2.841600179672241
9.666666666666666,9.666666666666666,31.0,30,500000.0,2.9031121730804443
9.333333333333334,9.333333333333334,31.0,31,500000.0,2.962383985519409
19.0,19.0,31.0,32,500000.0,3.0757617950439453
15.0,15.0,31.0,33,500000.0,3.167072296142578
15.333333333333334,15.333333333333334,31.0,34,500000.0,3.25968599319458
25.333333333333332,25.333333333333332,31.0,35,500000.0,3.4084744453430176
26.0,26.0,31.0,36,500000.0,3.56014084815979
11.333333333333334,11.333333333333334,31.0,37,500000.0,3.631359577178955
13.333333333333334,13.333333333333334,31.0,38,500000.0,3.712782621383667
9.333333333333334,9.333333333333334,31.0,39,500000.0,3.7749054431915283
10.0,10.0,31.0,40,500000.0,3.8396518230438232
14.666666666666666,14.666666666666666,31.0,41,500000.0,3.929135322570801
20.666666666666668,20.666666666666668,31.0,42,500000.0,4.051535129547119
9.666666666666666,9.666666666666666,31.0,43,500000.0,4.112751722335815
16.0,16.0,31.0,44,500000.0,4.2105772495269775
10.0,10.0,31.0,45,500000.0,4.274390697479248
12.0,12.0,31.0,46,500000.0,4.348552227020264
14.333333333333334,14.333333333333334,31.0,47,500000.0,4.435807704925537
10.666666666666666,10.666666666666666,31.0,48,500000.0,4.503196477890015
11.666666666666666,11.666666666666666,31.0,49,500000.0,4.578716516494751
31.666666666666668,31.666666666666668,31.666666666666668,50,500000.0,4.762317419052124
22.666666666666668,22.666666666666668,31.666666666666668,51,500000.0,4.895519971847534
12.666666666666666,12.666666666666666,31.666666666666668,52,500000.0,4.9738898277282715
25.333333333333332,25.333333333333332,31.666666666666668,53,500000.0,5.121838092803955
24.666666666666668,24.666666666666668,31.666666666666668,54,500000.0,5.2687578201293945
21.333333333333332,21.333333333333332,31.666666666666668,55,500000.0,5.39458155632019
29.0,29.0,31.666666666666668,56,500000.0,5.5673301219940186
21.333333333333332,21.333333333333332,31.666666666666668,57,500000.0,5.694853067398071
15.666666666666666,15.666666666666666,31.666666666666668,58,500000.0,5.790306329727173
24.0,24.0,31.666666666666668,59,500000.0,5.930812358856201
10.0,10.0,31.666666666666668,60,500000.0,5.993787050247192
20.333333333333332,20.333333333333332,31.666666666666668,61,500000.0,6.114724159240723
14.333333333333334,14.333333333333334,31.666666666666668,62,500000.0,6.202642202377319
22.333333333333332,22.333333333333332,31.666666666666668,63,500000.0,6.3364574909210205
24.333333333333332,24.333333333333332,31.666666666666668,64,500000.0,6.480982065200806
13.666666666666666,13.666666666666666,31.666666666666668,65,500000.0,6.565436840057373
14.666666666666666,14.666666666666666,31.666666666666668,66,500000.0,6.655408143997192
16.0,16.0,31.666666666666668,67,500000.0,6.754107475280762
19.666666666666668,19.666666666666668,31.666666666666668,68,500000.0,6.871330738067627
16.666666666666668,16.666666666666668,31.666666666666668,69,500000.0,6.971625089645386
12.666666666666666,12.666666666666666,31.666666666666668,70,500000.0,7.04956316947937
13.0,13.0,31.666666666666668,71,500000.0,7.129828453063965
16.333333333333332,16.333333333333332,31.666666666666668,72,500000.0,7.228064775466919
17.0,17.0,31.666666666666668,73,500000.0,7.3317906856536865
10.0,10.0,31.666666666666668,74,500000.0,7.395748138427734
15.333333333333334,15.333333333333334,31.666666666666668,75,500000.0,7.491711616516113
10.333333333333334,10.333333333333334,31.666666666666668,76,500000.0,7.556691646575928
9.666666666666666,9.666666666666666,31.666666666666668,77,500000.0,7.618204593658447
21.666666666666668,21.666666666666668,31.666666666666668,78,500000.0,7.746401071548462
14.333333333333334,14.333333333333334,31.666666666666668,79,500000.0,7.83354377746582
17.666666666666668,17.666666666666668,31.666666666666668,80,500000.0,7.939705848693848
