raw,rawselected,best,generations,runtime
[0.3036666666666667],[0.3036666666666667],0.8889999999999999,1,28.840384244918823
[0.41499999999999987],[0.41499999999999987],0.8889999999999999,2,43.11695861816406
[0.3876666666666666],[0.3876666666666666],0.8889999999999999,3,57.05021119117737
[0.3516666666666666],[0.3516666666666666],0.8889999999999999,4,71.38422703742981
[0.07533333333333332],[0.07533333333333332],0.8889999999999999,5,84.82340955734253
[0.604],[0.604],0.8889999999999999,6,97.62902736663818
[0.3006666666666667],[0.3006666666666667],0.8889999999999999,7,113.37458419799805
[0.15333333333333332],[0.15333333333333332],0.8889999999999999,8,128.54494524002075
[0.37266666666666665],[0.37266666666666665],0.8889999999999999,9,143.5902967453003
[0.5586666666666666],[0.5586666666666666],0.8889999999999999,10,155.89440059661865
[0.0],[0.0],0.8889999999999999,11,168.76390147209167
[0.39399999999999996],[0.39399999999999996],0.8889999999999999,12,181.89784908294678
[0.25833333333333336],[0.25833333333333336],0.8889999999999999,13,195.82841324806213
[0.45999999999999996],[0.45999999999999996],0.8889999999999999,14,209.66815447807312
[0.19233333333333333],[0.19233333333333333],0.8889999999999999,15,223.66566729545593
[0.32166666666666666],[0.32166666666666666],0.922,16,236.3436200618744
[0.496],[0.496],0.922,17,250.23875784873962
[0.64],[0.64],0.922,18,265.19027733802795
[0.5526666666666666],[0.5526666666666666],0.922,19,280.24877285957336
[0.48100000000000004],[0.48100000000000004],0.922,20,294.3068587779999
[0.23166666666666666],[0.23166666666666666],0.922,21,309.19484424591064
[0.8019999999999999],[0.8019999999999999],0.922,22,322.11239886283875
[0.37566666666666665],[0.37566666666666665],0.922,23,336.49482560157776
[0.694],[0.694],0.922,24,349.43105268478394
[0.2886666666666666],[0.2886666666666666],0.922,25,363.5397138595581
[0.09333333333333331],[0.09333333333333331],0.922,26,377.4887578487396
[0.47800000000000004],[0.47800000000000004],0.922,27,390.9440658092499
[0.547],[0.547],0.922,28,405.3327748775482
[0.3336666666666666],[0.3336666666666666],0.922,29,419.49877429008484
[0.5046666666666666],[0.5046666666666666],0.922,30,432.6262822151184
[0.5346666666666667],[0.5346666666666667],0.922,31,445.7958474159241
[0.349],[0.349],0.922,32,458.99616050720215
[0.5706666666666667],[0.5706666666666667],0.922,33,472.37309861183167
[0.15633333333333332],[0.15633333333333332],0.922,34,486.1679356098175
[0.48699999999999993],[0.48699999999999993],0.922,35,498.14303398132324
[0.658],[0.658],0.922,36,511.7143039703369
[0.2823333333333333],[0.2823333333333333],0.922,37,525.02840924263
[0.05133333333333334],[0.05133333333333334],0.922,38,537.2558023929596
[0.4386666666666666],[0.4386666666666666],0.922,39,551.150505065918
[0.07833333333333332],[0.07833333333333332],0.922,40,565.3915581703186
[0.49266666666666664],[0.49266666666666664],0.922,41,576.5660481452942
[0.4566666666666667],[0.4566666666666667],0.922,42,589.2252991199493
[0.42366666666666664],[0.42366666666666664],0.922,43,602.4636476039886
[0.2703333333333333],[0.2703333333333333],0.922,44,615.9967300891876
[0.5349999999999999],[0.5349999999999999],0.922,45,629.3500583171844
[0.39366666666666666],[0.39366666666666666],0.922,46,643.2605321407318
[0.48066666666666663],[0.48066666666666663],0.922,47,656.58735871315
[0.24033333333333332],[0.24033333333333332],0.922,48,668.9494075775146
[0.39666666666666667],[0.39666666666666667],0.922,49,682.1340363025665
[0.4056666666666667],[0.4056666666666667],0.922,50,698.0817973613739
[0.46900000000000003],[0.46900000000000003],0.922,51,711.8312449455261
[0.0],[0.0],0.922,52,725.9203245639801
[0.44766666666666666],[0.44766666666666666],0.922,53,741.1764478683472
[0.6669999999999999],[0.6669999999999999],0.922,54,754.220264673233
[0.15633333333333332],[0.15633333333333332],0.922,55,767.4690783023834
[0.709],[0.709],0.922,56,781.8565337657928
[0.4086666666666667],[0.4086666666666667],0.922,57,795.0675776004791
[0.589],[0.589],0.922,58,808.5852534770966
[0.37266666666666665],[0.37266666666666665],0.922,59,820.6399440765381
[0.3456666666666666],[0.3456666666666666],0.922,60,834.7289397716522
[0.4626666666666666],[0.4626666666666666],0.922,61,848.7239344120026
[0.4086666666666667],[0.4086666666666667],0.922,62,861.9709801673889
[0.4116666666666666],[0.4116666666666666],0.922,63,876.3986594676971
[0.0],[0.0],0.922,64,889.4176561832428
[0.775],[0.775],0.922,65,903.5921082496643
[0.45966666666666667],[0.45966666666666667],0.922,66,917.7933919429779
[0.6006666666666667],[0.6006666666666667],0.922,67,931.6055028438568
[0.06933333333333332],[0.06933333333333332],0.922,68,947.044519662857
[0.6669999999999999],[0.6669999999999999],0.922,69,959.880676984787
[0.4746666666666666],[0.4746666666666666],0.922,70,973.0999345779419
[0.26733333333333337],[0.26733333333333337],0.922,71,985.9612596035004
[0.04833333333333334],[0.04833333333333334],0.922,72,999.0288875102997
[0.2193333333333333],[0.2193333333333333],0.922,73,1012.103508234024
[0.28833333333333333],[0.28833333333333333],0.922,74,1025.04438996315
[0.2856666666666667],[0.2856666666666667],0.922,75,1038.1483991146088
[0.22833333333333336],[0.22833333333333336],0.922,76,1051.6311042308807
[0.11733333333333333],[0.11733333333333333],0.922,77,1064.210236787796
[0.45999999999999996],[0.45999999999999996],0.922,78,1077.327710866928
[0.2226666666666666],[0.2226666666666666],0.922,79,1091.6164882183075
[0.4176666666666667],[0.4176666666666667],0.922,80,1105.1566083431244
[0.26733333333333337],[0.26733333333333337],0.922,81,1120.2090384960175
[0.0],[0.0],0.922,82,1133.0685448646545
[0.18933333333333335],[0.18933333333333335],0.922,83,1147.0209829807281
[0.391],[0.391],0.922,84,1159.5687577724457
[0.5196666666666667],[0.5196666666666667],0.922,85,1172.897866487503
[0.835],[0.835],0.922,86,1185.5089423656464
[0.43599999999999994],[0.43599999999999994],0.922,87,1198.5537304878235
[0.82],[0.82],0.922,88,1212.158453464508
[0.4776666666666667],[0.4776666666666667],0.922,89,1222.0426218509674
