raw,rawselected,best,generations,tabu_list_size,neighborhood_size,runtime
0.19533333333333333,0.19533333333333333,0.19533333333333333,1,7,20,7.24011754989624
0.718,0.718,0.718,2,7,20,27.6095974445343
0.718,0.718,0.718,3,7,20,50.63942050933838
0.751,0.751,0.751,4,7,20,72.64120268821716
0.751,0.751,0.751,5,7,20,93.51850414276123
0.751,0.751,0.751,6,7,20,116.21010398864746
0.751,0.751,0.751,7,7,20,139.5207760334015
0.751,0.751,0.751,8,7,20,160.83764243125916
0.751,0.751,0.751,9,7,20,183.09506750106812
0.751,0.751,0.751,10,7,20,212.70691347122192
0.751,0.751,0.751,11,7,20,234.9173789024353
0.751,0.751,0.751,12,7,20,258.33220291137695
0.751,0.751,0.751,13,7,20,279.89765453338623
0.751,0.751,0.751,14,7,20,302.5752775669098
0.751,0.751,0.751,15,7,20,323.2159032821655
0.751,0.751,0.751,16,7,20,344.3684175014496
0.751,0.751,0.751,17,7,20,369.0587215423584
0.751,0.751,0.751,18,7,20,392.2206292152405
0.751,0.751,0.751,19,7,20,411.3002164363861
0.751,0.751,0.751,20,7,20,433.77363181114197
0.751,0.751,0.751,21,7,20,455.8667633533478
0.751,0.751,0.751,22,7,20,479.3738820552826
0.7989999999999999,0.7989999999999999,0.7989999999999999,23,7,20,500.72901678085327
0.7989999999999999,0.7989999999999999,0.7989999999999999,24,7,20,523.129604101181
0.7989999999999999,0.7989999999999999,0.7989999999999999,25,7,20,542.5341506004333
0.7989999999999999,0.7989999999999999,0.7989999999999999,26,7,20,562.9982190132141
0.7989999999999999,0.7989999999999999,0.7989999999999999,27,7,20,586.3054521083832
0.7989999999999999,0.7989999999999999,0.7989999999999999,28,7,20,606.5836477279663
0.7989999999999999,0.7989999999999999,0.7989999999999999,29,7,20,628.5558211803436
0.7989999999999999,0.7989999999999999,0.7989999999999999,30,7,20,649.2868506908417
0.7989999999999999,0.7989999999999999,0.7989999999999999,31,7,20,670.2783102989197
0.7989999999999999,0.7989999999999999,0.7989999999999999,32,7,20,691.0206201076508
0.7989999999999999,0.7989999999999999,0.7989999999999999,33,7,20,712.2194504737854
0.7989999999999999,0.7989999999999999,0.7989999999999999,34,7,20,734.2422442436218
0.7989999999999999,0.7989999999999999,0.7989999999999999,35,7,20,759.1452631950378
0.7989999999999999,0.7989999999999999,0.7989999999999999,36,7,20,780.491917848587
0.7989999999999999,0.7989999999999999,0.7989999999999999,37,7,20,803.683399438858
0.7989999999999999,0.7989999999999999,0.7989999999999999,38,7,20,829.0198369026184
0.7989999999999999,0.7989999999999999,0.7989999999999999,39,7,20,849.0057439804077
0.7989999999999999,0.7989999999999999,0.7989999999999999,40,7,20,872.079363822937
0.7989999999999999,0.7989999999999999,0.7989999999999999,41,7,20,892.7130637168884
0.7989999999999999,0.7989999999999999,0.7989999999999999,42,7,20,914.8822786808014
0.7989999999999999,0.7989999999999999,0.7989999999999999,43,7,20,936.4897968769073
0.7989999999999999,0.7989999999999999,0.7989999999999999,44,7,20,959.1523065567017
0.7989999999999999,0.7989999999999999,0.7989999999999999,45,7,20,981.791576385498
0.7989999999999999,0.7989999999999999,0.7989999999999999,46,7,20,1003.2282750606537
0.7989999999999999,0.7989999999999999,0.7989999999999999,47,7,20,1025.4255757331848
0.7989999999999999,0.7989999999999999,0.7989999999999999,48,7,20,1047.9370079040527
0.7989999999999999,0.7989999999999999,0.7989999999999999,49,7,20,1068.0857074260712
0.7989999999999999,0.7989999999999999,0.7989999999999999,50,7,20,1089.8638603687286
0.7989999999999999,0.7989999999999999,0.7989999999999999,51,7,20,1112.4080266952515
0.7989999999999999,0.7989999999999999,0.7989999999999999,52,7,20,1134.5013670921326
0.7989999999999999,0.7989999999999999,0.7989999999999999,53,7,20,1157.2005751132965
0.7989999999999999,0.7989999999999999,0.7989999999999999,54,7,20,1177.602421283722
0.7989999999999999,0.7989999999999999,0.7989999999999999,55,7,20,1200.3074357509613
0.7989999999999999,0.7989999999999999,0.7989999999999999,56,7,20,1220.3061294555664
0.7989999999999999,0.7989999999999999,0.7989999999999999,57,7,20,1242.3024272918701
0.7989999999999999,0.7989999999999999,0.7989999999999999,58,7,20,1263.407767534256
0.7989999999999999,0.7989999999999999,0.7989999999999999,59,7,20,1285.5855622291565
0.7989999999999999,0.7989999999999999,0.7989999999999999,60,7,20,1307.8438732624054
0.826,0.826,0.826,61,7,20,1327.5227341651917
0.826,0.826,0.826,62,7,20,1350.434875011444
0.826,0.826,0.826,63,7,20,1372.4671337604523
0.826,0.826,0.826,64,7,20,1397.1358017921448
0.826,0.826,0.826,65,7,20,1421.3518192768097
0.826,0.826,0.826,66,7,20,1444.3195283412933
0.826,0.826,0.826,67,7,20,1466.6596140861511
0.826,0.826,0.826,68,7,20,1489.344301700592
0.826,0.826,0.826,69,7,20,1511.6510925292969
0.826,0.826,0.826,70,7,20,1532.9273195266724
0.826,0.826,0.826,71,7,20,1557.7989230155945
0.826,0.826,0.826,72,7,20,1577.2944481372833
0.826,0.826,0.826,73,7,20,1600.9963448047638
0.826,0.826,0.826,74,7,20,1622.1849732398987
0.826,0.826,0.826,75,7,20,1644.1790661811829
0.826,0.826,0.826,76,7,20,1667.2021107673645
0.826,0.826,0.826,77,7,20,1687.5680620670319
0.826,0.826,0.826,78,7,20,1709.590378522873
0.826,0.826,0.826,79,7,20,1728.6604347229004
0.826,0.826,0.826,80,7,20,1753.3639974594116
0.826,0.826,0.826,81,7,20,1773.1619064807892
0.826,0.826,0.826,82,7,20,1794.5340268611908
0.826,0.826,0.826,83,7,20,1817.7704892158508
0.826,0.826,0.826,84,7,20,1840.7921977043152
0.826,0.826,0.826,85,7,20,1861.4429581165314
0.826,0.826,0.826,86,7,20,1885.1189951896667
0.826,0.826,0.826,87,7,20,1907.405653476715
0.826,0.826,0.826,88,7,20,1929.136074066162
0.826,0.826,0.826,89,7,20,1950.0817985534668
0.8290000000000001,0.8290000000000001,0.8290000000000001,90,7,20,1970.2041947841644
0.8290000000000001,0.8290000000000001,0.8290000000000001,91,7,20,1990.3863229751587
0.8290000000000001,0.8290000000000001,0.8290000000000001,92,7,20,2017.2317624092102
0.8290000000000001,0.8290000000000001,0.8290000000000001,93,7,20,2035.4204194545746
0.8290000000000001,0.8290000000000001,0.8290000000000001,94,7,20,2058.2269370555878
0.8290000000000001,0.8290000000000001,0.8290000000000001,95,7,20,2079.416458129883
0.8290000000000001,0.8290000000000001,0.8290000000000001,96,7,20,2100.1488287448883
0.8290000000000001,0.8290000000000001,0.8290000000000001,97,7,20,2122.3285567760468
0.8290000000000001,0.8290000000000001,0.8290000000000001,98,7,20,2144.234197616577
0.8290000000000001,0.8290000000000001,0.8290000000000001,99,7,20,2164.906558275223
0.8290000000000001,0.8290000000000001,0.8290000000000001,100,7,20,2187.7389624118805
0.8290000000000001,0.8290000000000001,0.8290000000000001,101,7,20,2208.6167063713074
0.8290000000000001,0.8290000000000001,0.8290000000000001,102,7,20,2236.9523673057556
0.8290000000000001,0.8290000000000001,0.8290000000000001,103,7,20,2256.0495715141296
0.8290000000000001,0.8290000000000001,0.8290000000000001,104,7,20,2277.824590444565
0.8290000000000001,0.8290000000000001,0.8290000000000001,105,7,20,2300.571543931961
0.8290000000000001,0.8290000000000001,0.8290000000000001,106,7,20,2322.43022108078
0.8290000000000001,0.8290000000000001,0.8290000000000001,107,7,20,2344.0719318389893
0.8290000000000001,0.8290000000000001,0.8290000000000001,108,7,20,2363.911434650421
0.8290000000000001,0.8290000000000001,0.8290000000000001,109,7,20,2386.3839902877808
0.8290000000000001,0.8290000000000001,0.8290000000000001,110,7,20,2406.579934835434
0.8290000000000001,0.8290000000000001,0.8290000000000001,111,7,20,2428.6449410915375
0.8290000000000001,0.8290000000000001,0.8290000000000001,112,7,20,2450.0480921268463
0.8290000000000001,0.8290000000000001,0.8290000000000001,113,7,20,2473.876646757126
0.8290000000000001,0.8290000000000001,0.8290000000000001,114,7,20,2495.1913418769836
0.8290000000000001,0.8290000000000001,0.8290000000000001,115,7,20,2517.094974040985
0.8290000000000001,0.8290000000000001,0.8290000000000001,116,7,20,2538.8641605377197
0.8290000000000001,0.8290000000000001,0.8290000000000001,117,7,20,2559.379878282547
0.8290000000000001,0.8290000000000001,0.8290000000000001,118,7,20,2579.9167625904083
0.8290000000000001,0.8290000000000001,0.8290000000000001,119,7,20,2602.0987598896027
0.8290000000000001,0.8290000000000001,0.8290000000000001,120,7,20,2628.1177883148193
0.8290000000000001,0.8290000000000001,0.8290000000000001,121,7,20,2651.713828086853
0.8290000000000001,0.8290000000000001,0.8290000000000001,122,7,20,2669.802469968796
0.8290000000000001,0.8290000000000001,0.8290000000000001,123,7,20,2690.1502401828766
