raw,rawselected,best,generations,tabu_list_size,neighborhood_size,runtime
0.8140000000000001,0.8140000000000001,0.8140000000000001,74,7,20,1579.7869789600372
0.8140000000000001,0.8140000000000001,0.8140000000000001,75,7,20,1602.1768004894257
0.8140000000000001,0.8140000000000001,0.8140000000000001,76,7,20,1625.5746638774872
0.8140000000000001,0.8140000000000001,0.8140000000000001,77,7,20,1646.241230249405
0.8140000000000001,0.8140000000000001,0.8140000000000001,78,7,20,1668.0294563770294
0.8140000000000001,0.8140000000000001,0.8140000000000001,79,7,20,1690.38068318367
0.8140000000000001,0.8140000000000001,0.8140000000000001,80,7,20,1710.8263533115387
0.8140000000000001,0.8140000000000001,0.8140000000000001,81,7,20,1732.198671579361
0.8140000000000001,0.8140000000000001,0.8140000000000001,82,7,20,1752.73308968544
0.8140000000000001,0.8140000000000001,0.8140000000000001,83,7,20,1773.648529291153
0.8140000000000001,0.8140000000000001,0.8140000000000001,84,7,20,1792.7150826454163
0.8140000000000001,0.8140000000000001,0.8140000000000001,85,7,20,1811.568449497223
0.8140000000000001,0.8140000000000001,0.8140000000000001,86,7,20,1832.88427901268
0.8140000000000001,0.8140000000000001,0.8140000000000001,87,7,20,1852.566831111908
0.8140000000000001,0.8140000000000001,0.8140000000000001,88,7,20,1874.9287838935852
0.8140000000000001,0.8140000000000001,0.8140000000000001,89,7,20,1895.5382709503174
0.8140000000000001,0.8140000000000001,0.8140000000000001,90,7,20,1916.1077554225922
0.8140000000000001,0.8140000000000001,0.8140000000000001,91,7,20,1936.9489333629608
0.8140000000000001,0.8140000000000001,0.8140000000000001,92,7,20,1959.0244550704956
0.8140000000000001,0.8140000000000001,0.8140000000000001,93,7,20,1980.2923946380615
0.8140000000000001,0.8140000000000001,0.8140000000000001,94,7,20,2001.0920469760895
0.8140000000000001,0.8140000000000001,0.8140000000000001,95,7,20,2026.5229992866516
0.8140000000000001,0.8140000000000001,0.8140000000000001,96,7,20,2048.5867831707
0.8140000000000001,0.8140000000000001,0.8140000000000001,97,7,20,2069.0915772914886
0.8140000000000001,0.8140000000000001,0.8140000000000001,98,7,20,2093.252507686615
0.8140000000000001,0.8140000000000001,0.8140000000000001,99,7,20,2113.318587064743
0.8140000000000001,0.8140000000000001,0.8140000000000001,100,7,20,2136.524203300476
0.8140000000000001,0.8140000000000001,0.8140000000000001,101,7,20,2156.5975217819214
0.8140000000000001,0.8140000000000001,0.8140000000000001,102,7,20,2176.797561645508
0.8140000000000001,0.8140000000000001,0.8140000000000001,103,7,20,2198.097416162491
0.8140000000000001,0.8140000000000001,0.8140000000000001,104,7,20,2218.7753162384033
0.8140000000000001,0.8140000000000001,0.8140000000000001,105,7,20,2239.501666545868
0.8140000000000001,0.8140000000000001,0.8140000000000001,106,7,20,2263.43976688385
0.8140000000000001,0.8140000000000001,0.8140000000000001,107,7,20,2285.3461151123047
0.8140000000000001,0.8140000000000001,0.8140000000000001,108,7,20,2305.0333037376404
0.8140000000000001,0.8140000000000001,0.8140000000000001,109,7,20,2326.4528470039368
