raw,rawselected,best,generations,tabu_list_size,neighborhood_size,runtime
9.0,9.0,9.0,1,10,40,0.10626339912414551
37.666666666666664,37.666666666666664,37.666666666666664,2,10,40,4.589048147201538
40.666666666666664,40.666666666666664,40.666666666666664,3,10,40,9.630894660949707
40.666666666666664,40.666666666666664,40.666666666666664,4,10,40,14.485108375549316
61.0,61.0,61.0,5,10,40,20.211557388305664
61.0,61.0,61.0,6,10,40,25.020029306411743
61.0,61.0,61.0,7,10,40,30.345854997634888
61.0,61.0,61.0,8,10,40,34.56696176528931
61.0,61.0,61.0,9,10,40,39.29584813117981
61.0,61.0,61.0,10,10,40,44.03742790222168
61.0,61.0,61.0,11,10,40,49.39768719673157
61.0,61.0,61.0,12,10,40,54.01380276679993
61.0,61.0,61.0,13,10,40,59.085546016693115
61.0,61.0,61.0,14,10,40,64.47554540634155
61.0,61.0,61.0,15,10,40,69.44152498245239
61.0,61.0,61.0,16,10,40,74.7861897945404
61.0,61.0,61.0,17,10,40,80.49920892715454
61.0,61.0,61.0,18,10,40,85.8914532661438
61.0,61.0,61.0,19,10,40,90.67559385299683
61.0,61.0,61.0,20,10,40,95.01205253601074
61.0,61.0,61.0,21,10,40,100.53326797485352
61.0,61.0,61.0,22,10,40,105.28478002548218
61.0,61.0,61.0,23,10,40,110.31224846839905
61.0,61.0,61.0,24,10,40,115.11176776885986
61.0,61.0,61.0,25,10,40,120.36317086219788
61.0,61.0,61.0,26,10,40,125.48632884025574
61.0,61.0,61.0,27,10,40,130.86871337890625
61.0,61.0,61.0,28,10,40,136.29622530937195
61.0,61.0,61.0,29,10,40,141.50951766967773
61.0,61.0,61.0,30,10,40,146.2571985721588
61.0,61.0,61.0,31,10,40,151.1073603630066
61.0,61.0,61.0,32,10,40,155.786705493927
61.0,61.0,61.0,33,10,40,160.87516379356384
61.0,61.0,61.0,34,10,40,166.13531231880188
61.0,61.0,61.0,35,10,40,171.35284423828125
61.0,61.0,61.0,36,10,40,176.29262471199036
61.0,61.0,61.0,37,10,40,181.17070150375366
61.0,61.0,61.0,38,10,40,186.21613836288452
61.0,61.0,61.0,39,10,40,191.0427806377411
61.0,61.0,61.0,40,10,40,195.72202682495117
68.0,68.0,68.0,41,10,40,201.03973197937012
68.0,68.0,68.0,42,10,40,205.35733819007874
68.0,68.0,68.0,43,10,40,210.1582314968109
68.0,68.0,68.0,44,10,40,215.03813695907593
68.0,68.0,68.0,45,10,40,219.84657740592957
68.0,68.0,68.0,46,10,40,224.2348644733429
68.0,68.0,68.0,47,10,40,228.96945786476135
68.0,68.0,68.0,48,10,40,233.44160151481628
68.0,68.0,68.0,49,10,40,238.6363444328308
68.0,68.0,68.0,50,10,40,243.65116596221924
68.0,68.0,68.0,51,10,40,248.8200671672821
68.0,68.0,68.0,52,10,40,253.57073163986206
68.0,68.0,68.0,53,10,40,258.5369827747345
68.0,68.0,68.0,54,10,40,263.90753722190857
68.0,68.0,68.0,55,10,40,269.06287837028503
73.33333333333333,73.33333333333333,73.33333333333333,56,10,40,274.50918650627136
73.33333333333333,73.33333333333333,73.33333333333333,57,10,40,279.8540017604828
73.33333333333333,73.33333333333333,73.33333333333333,58,10,40,284.76659750938416
73.33333333333333,73.33333333333333,73.33333333333333,59,10,40,289.5295498371124
73.33333333333333,73.33333333333333,73.33333333333333,60,10,40,294.6505763530731
73.33333333333333,73.33333333333333,73.33333333333333,61,10,40,299.59343934059143
73.33333333333333,73.33333333333333,73.33333333333333,62,10,40,304.0992045402527
73.33333333333333,73.33333333333333,73.33333333333333,63,10,40,309.243168592453
73.33333333333333,73.33333333333333,73.33333333333333,64,10,40,314.4435396194458
73.33333333333333,73.33333333333333,73.33333333333333,65,10,40,319.27107286453247
73.33333333333333,73.33333333333333,73.33333333333333,66,10,40,324.62305760383606
73.33333333333333,73.33333333333333,73.33333333333333,67,10,40,329.5948643684387
73.33333333333333,73.33333333333333,73.33333333333333,68,10,40,335.05218863487244
73.33333333333333,73.33333333333333,73.33333333333333,69,10,40,339.7623550891876
73.33333333333333,73.33333333333333,73.33333333333333,70,10,40,345.5618278980255
73.33333333333333,73.33333333333333,73.33333333333333,71,10,40,350.68231105804443
73.33333333333333,73.33333333333333,73.33333333333333,72,10,40,355.56266617774963
73.33333333333333,73.33333333333333,73.33333333333333,73,10,40,360.86060881614685
73.33333333333333,73.33333333333333,73.33333333333333,74,10,40,365.3585093021393
73.33333333333333,73.33333333333333,73.33333333333333,75,10,40,370.0347123146057
73.33333333333333,73.33333333333333,73.33333333333333,76,10,40,374.9717791080475
73.33333333333333,73.33333333333333,73.33333333333333,77,10,40,380.4148406982422
73.33333333333333,73.33333333333333,73.33333333333333,78,10,40,385.51063895225525
73.33333333333333,73.33333333333333,73.33333333333333,79,10,40,390.40357279777527
73.33333333333333,73.33333333333333,73.33333333333333,80,10,40,395.6744899749756
73.33333333333333,73.33333333333333,73.33333333333333,81,10,40,400.6619076728821
73.33333333333333,73.33333333333333,73.33333333333333,82,10,40,404.9967017173767
73.33333333333333,73.33333333333333,73.33333333333333,83,10,40,409.87998962402344
73.33333333333333,73.33333333333333,73.33333333333333,84,10,40,414.4627466201782
73.33333333333333,73.33333333333333,73.33333333333333,85,10,40,419.78307127952576
73.33333333333333,73.33333333333333,73.33333333333333,86,10,40,424.7536494731903
73.33333333333333,73.33333333333333,73.33333333333333,87,10,40,430.0936288833618
73.33333333333333,73.33333333333333,73.33333333333333,88,10,40,434.4468855857849
73.33333333333333,73.33333333333333,73.33333333333333,89,10,40,439.57439613342285
