raw,rawselected,best,generations,runtime
[0.06633333333333331],[0.06633333333333331],0.709,1,36.063007831573486
[0.07833333333333332],[0.07833333333333332],0.709,2,55.827038049697876
[0.30333333333333334],[0.30333333333333334],0.709,3,75.37530422210693
[0.0],[0.0],0.709,4,92.74644684791565
[0.19533333333333333],[0.19533333333333333],0.709,5,111.16048312187195
[0.541],[0.541],0.709,6,129.30540871620178
[0.05433333333333331],[0.05433333333333331],0.709,7,146.39373540878296
[0.21666666666666665],[0.21666666666666665],0.709,8,165.05223846435547
[0.04833333333333334],[0.04833333333333334],0.709,9,183.08229899406433
[0.22233333333333336],[0.22233333333333336],0.709,10,199.09972500801086
[0.06933333333333332],[0.06933333333333332],0.709,11,218.86693048477173
[0.09633333333333331],[0.09633333333333331],0.709,12,237.52187705039978
[0.5529999999999999],[0.5529999999999999],0.709,13,255.9370834827423
[0.48066666666666663],[0.48066666666666663],0.709,14,273.51910853385925
[0.08133333333333333],[0.08133333333333333],0.709,15,292.4787087440491
[0.18333333333333335],[0.18333333333333335],0.709,16,310.75603580474854
[0.42366666666666664],[0.42366666666666664],0.727,17,327.9148519039154
[0.0],[0.0],0.727,18,348.08462858200073
[0.07833333333333332],[0.07833333333333332],0.727,19,365.79633808135986
[0.0],[0.0],0.8230000000000001,20,381.9131338596344
[0.32799999999999996],[0.32799999999999996],0.8230000000000001,21,397.5747871398926
[0.4386666666666666],[0.4386666666666666],0.868,22,412.32899475097656
[0.1323333333333333],[0.1323333333333333],0.868,23,428.3034899234772
[0.2133333333333333],[0.2133333333333333],0.868,24,444.8046622276306
[0.31566666666666665],[0.31566666666666665],0.868,25,459.60839462280273
[0.0],[0.0],0.868,26,476.2796185016632
[0.2853333333333333],[0.2853333333333333],0.868,27,491.771595954895
[0.0],[0.0],0.868,28,505.2385914325714
[0.4749999999999999],[0.4749999999999999],0.868,29,519.9587416648865
[0.44799999999999995],[0.44799999999999995],0.868,30,534.656268119812
[0.0],[0.0],0.868,31,548.2260506153107
[0.0],[0.0],0.868,32,563.6435434818268
[0.15333333333333332],[0.15333333333333332],0.868,33,577.3460166454315
[0.0],[0.0],0.868,34,592.8662254810333
[0.5016666666666666],[0.5016666666666666],0.8889999999999999,35,606.9683308601379
[0.16266666666666665],[0.16266666666666665],0.8889999999999999,36,620.0053474903107
[0.0],[0.0],0.8889999999999999,37,634.4325346946716
[0.2856666666666666],[0.2856666666666666],0.8889999999999999,38,649.7598464488983
[0.30033333333333334],[0.30033333333333334],0.8889999999999999,39,664.7249431610107
[0.682],[0.682],0.8889999999999999,40,677.7862377166748
[0.673],[0.673],0.8889999999999999,41,692.4645652770996
[0.37866666666666665],[0.37866666666666665],0.8889999999999999,42,708.8173995018005
[0.11766666666666666],[0.11766666666666666],0.8889999999999999,43,723.055793762207
[0.3456666666666666],[0.3456666666666666],0.8889999999999999,44,735.7989172935486
[0.4266666666666666],[0.4266666666666666],0.8889999999999999,45,749.6033103466034
[0.3096666666666667],[0.3096666666666667],0.8889999999999999,46,762.6417682170868
[0.29433333333333334],[0.29433333333333334],0.8889999999999999,47,777.5140137672424
[0.18033333333333332],[0.18033333333333332],0.8889999999999999,48,790.3550817966461
[0.3093333333333333],[0.3093333333333333],0.8889999999999999,49,804.4685719013214
[0.48966666666666664],[0.48966666666666664],0.8889999999999999,50,819.8853445053101
[0.5556666666666666],[0.5556666666666666],0.8889999999999999,51,831.9013586044312
[0.601],[0.601],0.8889999999999999,52,846.0122227668762
[0.10533333333333332],[0.10533333333333332],0.8889999999999999,53,860.3865237236023
[0.496],[0.496],0.8889999999999999,54,874.9342334270477
[0.4026666666666667],[0.4026666666666667],0.8889999999999999,55,888.2117941379547
[0.3486666666666666],[0.3486666666666666],0.8889999999999999,56,903.183714389801
[0.0],[0.0],0.8889999999999999,57,917.742481470108
[0.5646666666666667],[0.5646666666666667],0.907,58,932.2153553962708
[0.2703333333333333],[0.2703333333333333],0.907,59,946.3829636573792
[0.5886666666666667],[0.5886666666666667],0.907,60,962.5070486068726
[0.25833333333333336],[0.25833333333333336],0.907,61,975.880274772644
[0.3246666666666666],[0.3246666666666666],0.907,62,990.3273923397064
[0.22233333333333336],[0.22233333333333336],0.907,63,1005.8396155834198
[0.1353333333333333],[0.1353333333333333],0.907,64,1020.1949932575226
[0.04833333333333334],[0.04833333333333334],0.907,65,1035.1639235019684
